"idruta","troncal","ramal"
"012F","Troncal 1","ITA - LAMBARÉ (Canal 13)"
"0130","Troncal 1","ITA - MARIANO R ALONSO"
"0131","Troncal 1","ITA - MARIANO R ALONSO"
"001A","temporal","RUTA INACTIVA"
"001B","Troncal 1","RUTA INACTIVA"
"001C","Troncal 1","RUTA INACTIVA"
"001D","Troncal 1","RUTA INACTIVA"
"0088","Troncal 1","4 MOJONES"
"0089","Troncal 1","4 MOJONES"
"008A","Troncal 1","SANTA LUCIA"
"008B","Troncal 1","SANTA LUCIA"
"0196","Troncal 1","Terminal - IPS - Centro"
"0197","Troncal 1","Terminal - IPS - Centro"
"0198","Troncal 1","(en blanco)"
"0199","Troncal 1","(en blanco)"
"010C","Troncal 1","PA.I ÑU - IPS"
"010D","Troncal 1","PA.I ÑU - IPS"
"010E","Troncal 1","ZAVALA CUE - IPS"
"010F","Troncal 1","ZAVALA CUE - IPS"
"0092","Troncal 1","MARAMBURE - SAJONIA"
"0093","Troncal 1","MARAMBURE - SAJONIA"
"00FE","Troncal 1","LAMBARE - GUARAMBARE"
"00FF","Troncal 1","LAMBARE - GUARAMBARE"
"006A","Troncal 1","CALLE´I"
"006B","Troncal 1","CALLE´I"
"002A","Troncal 1","DIRECTO"
"002B","Troncal 1","DIRECTO"
"002C","Troncal 1","KOKUE GUAZU"
"002D","Troncal 1","KOKUE GUAZU"
"002E","Troncal 1","GUAYAIBITY"
"002F","Troncal 1","GUAYAIBITY"
"009A","Troncal 1","KOKUERE"
"009B","Troncal 1","KOKUERE"
"014A","Troncal 1","COSTA FLEITAS"
"014B","Troncal 1","COSTA FLEITAS"
"0173","Troncal 1","INACTIVO - 4SAJONIA"
"0174","Troncal 1","INACTIVO - ZONA NORTE"
"01B7","Troncal 1","COSTA FLEITAS"
"01B8","Troncal 1","COSTA FLEITAS"
"0030","Troncal 2","IPS"
"0031","Troncal 2","IPS"
"0032","Troncal 2","MERCADO 4"
"0033","Troncal 2","MERCADO 4"
"0148","Troncal 2","YUKYRY - MERCADO 4"
"0149","Troncal 2","YUKYRY - MERCADO 4"
"016F","Troncal 2","MA. AUXILIADORA - PARADA DE INTEGRACIÓN"
"0170","Troncal 2","MA. AUXILIADORA - PARADA DE INTEGRACIÓN"
