EPS,Lineas,EmpresaAfiliada,NoBus,IDValidador,idsam
EPAS S.A.,11 y 203,BENE S.A,50,1811050144,041F2CD2955D80
EPAS S.A.,11 y 203,BENE S.A,51,1811050081,043534D2955D80
EPAS S.A.,11 y 203,BENE S.A,52,1811050142,041F30D2955D80
EPAS S.A.,11 y 203,BENE S.A,53,1811050181,04331CD2955D80
EPAS S.A.,11 y 203,BENE S.A,54,1811050172,04330ED2955D80
EPAS S.A.,11 y 203,BENE S.A,55,1811050160,043618D2955D80
EPAS S.A.,11 y 203,BENE S.A,56,1811050177,043612D2955D80
EPAS S.A.,11 y 203,BENE S.A,57,1811050155,04360ED2955D80
EPAS S.A.,11 y 203,BENE S.A,60,1811050138,041F2FD2955D80
EPAS S.A.,11 y 203,BENE S.A,61,1811050170,043538D2955D80
EPAS S.A.,11 y 203,BENE S.A,62,1811050076,04330FD2955D80
EPAS S.A.,11 y 203,BENE S.A,63,1811050165,04353AD2955D80
EPAS S.A.,11 y 203,BENE S.A,64,1811050159,04360AD2955D80
EPAS S.A.,11 y 203,BENE S.A,65,1811050214,043615D2955D80
EPAS S.A.,11 y 203,BENE S.A,66,1811050085,043530D2955D80
EPAS S.A.,11 y 203,BENE S.A,67,1811050220,043613D2955D80
EPAS S.A.,11 y 203,BENE S.A,68,1811050080,043533D2955D80
EPAS S.A.,11 y 203,BENE S.A,69,1811050184,043317D2955D80
EPAS S.A.,11 y 203,BENE S.A,76,1903180244,04311222B95A80
EPAS S.A.,11 y 203,BENE S.A,77,1811050239,04312022B95A80
EPAS S.A.,11 y 203,BENE S.A,78,1903180025,04363D22B95A80
EPAS S.A.,11 y 203,BENE S.A,79,1903180258,04310622B95A80
EPAS S.A.,11 y 203,BENE S.A,80,1903180196,04310B22B95A80
EPAS S.A.,11 y 203,BENE S.A,81,1903180265,04300722B95A80
EPAS S.A.,11 y 203,BENE S.A,82,1811050189,04371ED2955D80
EPAS S.A.,11 y 203,BENE S.A,83,1903180288,04310922B95A80
EPAS S.A.,11 y 203,BENE S.A,84,1903180153,04310F22B95A80
EPAS S.A.,11 y 203,BENE S.A,85,1811050039,043633D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,601",1811050025,042029D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,602",1811050026,042025D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,603",1811050182,04331BD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,604",1811050183,043316D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,605",1811050005,04372ED2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,606",1811050014,043732D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,607",1811050052,043638D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,608",1811050021,04202DD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,609",1811050019,042024D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,610",1811050009,043720D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,611",1811050002,04363FD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,612",1811050192,043539D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,613",1811050024,042026D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,614",1811050198,04363ED2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,615",1811050017,04202ED2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,616",1811050001,043718D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,617",1811050195,043319D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,618",1811050046,04203BD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,619",1811050199,043526D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,620",1811050007,043627D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,621",1811050015,043626D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,622",1811050018,042023D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,623",1811050041,04203CD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,624",1811050042,04203FD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,625",1811050043,042040D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,626",1811050194,04371DD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,627",1811050023,04202BD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,628",1811050020,042028D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,629",1811050028,04202AD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,630",1811050188,043636D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,631",1811050027,042027D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,632",1811050012,043730D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,633",1811050048,041F44D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,634",1811050008,043624D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,635",1811050044,042042D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,636",1811050011,043625D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,637",1811050197,043719D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,638",1811050185,043721D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,639",1811050016,043722D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,640",1811050010,04372FD2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,641",1811050107,042043D2955D80
EPAS S.A.,"23, 24, 31, 33",TTL S.A.,"1,642",1811050200,043713D2955D80
